year,instance,kernel_width,predicted_class,true_class,test
1990,safe,0.307419760551675,+care,+care,categorization
1990,peace,0.3007740502337133,+care,+care,categorization
1990,compassionate,0.2869573003755765,+sanctity,+care,categorization
1990,compassion,0.2969463133596162,+sanctity,+care,categorization
1990,sympathy,0.2918950832868695,+care,+care,categorization
1990,care,0.30105578595473054,+care,+care,categorization
1990,protect,0.2935830440362726,+care,+care,categorization
1990,protector,0.2948953191076899,+care,+care,categorization
1990,protection,0.27958173414610876,+care,+care,categorization
1990,shield,0.2983210477188842,+care,+care,categorization
1990,shelter,0.2990888673872094,+care,+care,categorization
1990,amity,0.2947656806579608,+care,+care,categorization
1990,secure,0.28959347737641394,+care,+care,categorization
1990,benefit,0.28202847725700664,+fairness,+care,categorization
1990,defend,0.2977773100541983,+care,+care,categorization
1990,defender,0.28430076546589583,+care,+care,categorization
1990,defence,0.3018736355002743,+care,+care,categorization
1990,guard,0.2866855436303988,-loyalty,+care,categorization
1990,preserve,0.29113707229469793,+sanctity,+care,categorization
1990,fair,0.26845016212089323,+fairness,+fairness,categorization
1990,fairly,0.27751811270354293,+fairness,+fairness,categorization
1990,equal,0.29145874991463006,+fairness,+fairness,categorization
1990,justice,0.2924213281480851,+fairness,+fairness,categorization
1990,justness,0.2986180629990262,-sanctity,+fairness,categorization
1990,justification,0.30760451457120136,+fairness,+fairness,categorization
1990,justifies,0.29393051039878565,+fairness,+fairness,categorization
1990,justifiable,0.28591695290615854,+fairness,+fairness,categorization
1990,reciprocal,0.29791116302086273,+fairness,+fairness,categorization
1990,impartiality,0.29299803633827187,+sanctity,+fairness,categorization
1990,impartial,0.29837120645234777,+fairness,+fairness,categorization
1990,rights,0.30618823103020526,+care,+fairness,categorization
1990,equity,0.28634951763814864,+fairness,+fairness,categorization
1990,equivalent,0.2963364203903373,+fairness,+fairness,categorization
1990,balance,0.2958045028045887,+fairness,+fairness,categorization
1990,reasonable,0.3065021231389626,+fairness,+fairness,categorization
1990,constant,0.287914854882965,+fairness,+fairness,categorization
1990,honest,0.2977565834099811,+sanctity,+fairness,categorization
1990,together,0.28768198055067906,+loyalty,+loyalty,categorization
1990,nation,0.29730421657185113,+loyalty,+loyalty,categorization
1990,family,0.2981600750856208,+loyalty,+loyalty,categorization
1990,families,0.2908732948933111,+loyalty,+loyalty,categorization
1990,group,0.2757368585897094,+loyalty,+loyalty,categorization
1990,loyal,0.2797657901523973,+authority,+loyalty,categorization
1990,patriot,0.28600754796121514,-loyalty,+loyalty,categorization
1990,community,0.2872915281676451,+loyalty,+loyalty,categorization
1990,companion,0.2852797515821991,+loyalty,+loyalty,categorization
1990,comrades,0.29169533014238397,-loyalty,+loyalty,categorization
1990,collective,0.3025950440616331,-fairness,+loyalty,categorization
1990,joint,0.2914841696921228,+loyalty,+loyalty,categorization
1990,unison,0.2849236761323547,-authority,+loyalty,categorization
1990,unite,0.29828469036722977,+loyalty,+loyalty,categorization
1990,fellow,0.3057567679569867,+loyalty,+loyalty,categorization
1990,devote,0.29307830359283116,+authority,+loyalty,categorization
1990,member,0.2907946119163435,+loyalty,+loyalty,categorization
1990,ally,0.3045861034673763,+loyalty,+loyalty,categorization
1990,preserve,0.27291205804104596,+care,+authority,categorization
1990,loyal,0.283715468507463,+loyalty,+authority,categorization
1990,obedience,0.2927816668109711,+authority,+authority,categorization
1990,obey,0.27736755964049953,+authority,+authority,categorization
1990,obedient,0.2968029454042761,+authority,+authority,categorization
1990,duty,0.3030894089200918,+authority,+authority,categorization
1990,law,0.2941704571949754,+fairness,+authority,categorization
1990,lawful,0.29875746712217466,+fairness,+authority,categorization
1990,legality,0.30324028069154607,+fairness,+authority,categorization
1990,legal,0.2961054144986876,+fairness,+authority,categorization
1990,duties,0.3001976700560286,+authority,+authority,categorization
1990,award,0.29130733298705036,+fairness,+authority,categorization
1990,honor,0.29468779888829366,+sanctity,+authority,categorization
1990,respect,0.300161010075958,+fairness,+authority,categorization
1990,respectful,0.2908617073586871,+care,+authority,categorization
1990,respected,0.29568168448126514,+loyalty,+authority,categorization
1990,respects,0.293700436356423,+authority,+authority,categorization
1990,order,0.28422647421152797,+care,+authority,categorization
1990,father,0.2978065260416051,+authority,+authority,categorization
1990,mother,0.3003674985866735,+authority,+authority,categorization
1990,mothers,0.2919603300072841,+loyalty,+authority,categorization
1990,tradition,0.28465472906157374,+sanctity,+authority,categorization
1990,hierarchy,0.3023347119122445,+authority,+authority,categorization
1990,authority,0.291628290688249,+authority,+authority,categorization
1990,permit,0.290574677932657,+authority,+authority,categorization
1990,permission,0.2955531905219324,+authority,+authority,categorization
1990,rank,0.30345463071042017,+authority,+authority,categorization
1990,leader,0.29355702399713796,+loyalty,+authority,categorization
1990,lead,0.2985514881320951,-care,+authority,categorization
1990,class,0.2941466988011342,+loyalty,+authority,categorization
1990,position,0.29667448355363846,+care,+authority,categorization
1990,compliance,0.29099336648249213,+authority,+authority,categorization
1990,command,0.288136211641921,+authority,+authority,categorization
1990,supremacy,0.293486139271308,+authority,+authority,categorization
1990,control,0.27598478407999477,+care,+authority,categorization
1990,submission,0.28466085987756107,+authority,+authority,categorization
1990,submit,0.28774144352034253,+authority,+authority,categorization
1990,commit,0.2813668888847128,-care,+authority,categorization
1990,allegiance,0.29631852813489173,+authority,+authority,categorization
1990,serve,0.2881009343384497,+care,+authority,categorization
1990,abide,0.2973354088808127,+authority,+authority,categorization
1990,deference,0.2934765038794458,+authority,+authority,categorization
1990,defer,0.3013249694256962,+authority,+authority,categorization
1990,revered,0.2845264615804265,+sanctity,+authority,categorization
1990,idol,0.2895861713457253,+sanctity,+authority,categorization
1990,fear,0.2881916026882621,-loyalty,+authority,categorization
1990,veneration,0.28091277803234155,+sanctity,+authority,categorization
1990,comply,0.2977807470311777,+authority,+authority,categorization
1990,preserve,0.28413252877517814,+care,+sanctity,categorization
1990,piety,0.29390622862154964,+sanctity,+sanctity,categorization
1990,pious,0.29397384620145156,+sanctity,+sanctity,categorization
1990,purity,0.3034055603652985,+sanctity,+sanctity,categorization
1990,pure,0.2917523021298209,+sanctity,+sanctity,categorization
1990,clean,0.29099275670761987,+care,+sanctity,categorization
1990,sacred,0.29681211100481414,+sanctity,+sanctity,categorization
1990,chaste,0.29115454155388026,+sanctity,+sanctity,categorization
1990,chastity,0.29737216328735844,+sanctity,+sanctity,categorization
1990,holy,0.2903768092077303,+sanctity,+sanctity,categorization
1990,holiness,0.2939266487642764,+sanctity,+sanctity,categorization
1990,sanctify,0.2950230702908908,-sanctity,+sanctity,categorization
1990,saint,0.2917743708166497,+sanctity,+sanctity,categorization
1990,wholesome,0.3010444125661007,+sanctity,+sanctity,categorization
1990,celibacy,0.27901413962257204,+sanctity,+sanctity,categorization
1990,virgin,0.26910269781718404,+sanctity,+sanctity,categorization
1990,virgins,0.2895768493511688,+sanctity,+sanctity,categorization
1990,austerity,0.2804644372340669,+sanctity,+sanctity,categorization
1990,integrity,0.30491123436132056,+care,+sanctity,categorization
1990,modesty,0.3092245838949441,+sanctity,+sanctity,categorization
1990,abstinence,0.2922688231875499,+sanctity,+sanctity,categorization
1990,abstain,0.28939739403465814,-fairness,+sanctity,categorization
1990,upright,0.2989875963166476,+sanctity,+sanctity,categorization
1990,maiden,0.2895719926895883,+sanctity,+sanctity,categorization
1990,virtuous,0.2950247611822483,+sanctity,+sanctity,categorization
1990,refined,0.2884463939716853,+sanctity,+sanctity,categorization
1990,decent,0.294554238096509,+fairness,+sanctity,categorization
1990,decency,0.3045581262411772,+fairness,+sanctity,categorization
1990,innocent,0.29779351956707306,-care,+sanctity,categorization
1990,church,0.2965019802186305,+sanctity,+sanctity,categorization
1990,harm,0.2746886879930938,-care,-care,categorization
1990,injure,0.2930725504634296,-care,-care,categorization
1990,injurious,0.29446614530315274,-care,-care,categorization
1990,suffer,0.2838581795929951,-care,-care,categorization
1990,war,0.28471234402850865,-care,-care,categorization
1990,wars,0.30012170266632743,-care,-care,categorization
1990,warlike,0.28852232161923425,-care,-care,categorization
1990,fight,0.2828097853406775,-care,-care,categorization
1990,battle,0.30312969192420125,-care,-care,categorization
1990,violence,0.3111454885164263,-care,-care,categorization
1990,violent,0.2903151333635564,-care,-care,categorization
1990,hurt,0.2811964004207172,-care,-care,categorization
1990,kill,0.2950442829477539,-care,-care,categorization
1990,kills,0.2922207352040244,-care,-care,categorization
1990,killed,0.28382293878110226,-care,-care,categorization
1990,killing,0.3008003565729491,-care,-care,categorization
1990,endanger,0.2808145119140688,-care,-care,categorization
1990,cruel,0.29545536373579095,-care,-care,categorization
1990,brutal,0.3034503547860309,-care,-care,categorization
1990,abuse,0.2981934020546333,-care,-care,categorization
1990,damage,0.29079394822331184,-care,-care,categorization
1990,ruin,0.2999645116234805,-sanctity,-care,categorization
1990,ruinous,0.2779996120243271,-sanctity,-care,categorization
1990,detrimental,0.2935045674736597,-care,-care,categorization
1990,detriment,0.2895917217508092,-fairness,-care,categorization
1990,crush,0.28890961095000456,-care,-care,categorization
1990,attack,0.2988753866592396,-care,-care,categorization
1990,annihilate,0.29398908345595426,-authority,-care,categorization
1990,destroy,0.29156022203921145,-care,-care,categorization
1990,abandon,0.2861735420856067,-loyalty,-care,categorization
1990,impair,0.3048680393146538,-care,-care,categorization
1990,exploits,0.281409479812664,-sanctity,-care,categorization
1990,wound,0.2970883755797635,-care,-care,categorization
1990,unfair,0.28102056868878567,-fairness,-fairness,categorization
1990,unequal,0.30591749385673067,-fairness,-fairness,categorization
1990,bias,0.2969559334611559,-fairness,-fairness,categorization
1990,unjust,0.2924699997009988,-fairness,-fairness,categorization
1990,injustice,0.29559342451982495,-fairness,-fairness,categorization
1990,bigotry,0.2829560881460992,-fairness,-fairness,categorization
1990,discrimination,0.28283947462389725,-fairness,-fairness,categorization
1990,discriminate,0.30136848775119707,-fairness,-fairness,categorization
1990,disproportion,0.29510828227351,-sanctity,-fairness,categorization
1990,prejudice,0.2928156606559705,-fairness,-fairness,categorization
1990,preference,0.28455148716738765,-fairness,-fairness,categorization
1990,exclusion,0.2994596010086874,-fairness,-fairness,categorization
1990,exclusive,0.2864740505189274,-fairness,-fairness,categorization
1990,exclude,0.28614461397141705,-fairness,-fairness,categorization
1990,abandon,0.26956783475958657,-care,-loyalty,categorization
1990,foreign,0.28787618112332847,+fairness,-loyalty,categorization
1990,enemy,0.2926221691783981,-care,-loyalty,categorization
1990,betray,0.26997398371217,-authority,-loyalty,categorization
1990,treason,0.2859630209198349,-authority,-loyalty,categorization
1990,traitor,0.28529122679354046,-authority,-loyalty,categorization
1990,treachery,0.29470273202116926,-authority,-loyalty,categorization
1990,perfidious,0.2740645813430306,-authority,-loyalty,categorization
1990,individual,0.27954872566482664,+loyalty,-loyalty,categorization
1990,deserted,0.27321615650747677,-authority,-loyalty,categorization
1990,desert,0.2839648662320298,-authority,-loyalty,categorization
1990,deserters,0.28782172120268873,-authority,-loyalty,categorization
1990,deserting,0.2836058419894667,-authority,-loyalty,categorization
1990,deceive,0.3022365567105143,-loyalty,-loyalty,categorization
1990,deception,0.30464942109866067,-care,-loyalty,categorization
1990,spy,0.2939098155872496,-loyalty,-loyalty,categorization
1990,betray,0.2970524444727005,-loyalty,-authority,categorization
1990,treason,0.2674895967577839,-loyalty,-authority,categorization
1990,traitor,0.26988207774906386,-loyalty,-authority,categorization
1990,treachery,0.2922335470838369,-loyalty,-authority,categorization
1990,perfidious,0.289189499434815,-loyalty,-authority,categorization
1990,deserted,0.2788653059484306,-loyalty,-authority,categorization
1990,desert,0.29320991223036585,-loyalty,-authority,categorization
1990,deserters,0.28473144536769673,-loyalty,-authority,categorization
1990,deserting,0.2802663693125413,-loyalty,-authority,categorization
1990,defiance,0.29896995140221494,-authority,-authority,categorization
1990,rebel,0.29752884251900324,-loyalty,-authority,categorization
1990,dissent,0.3025047311170446,-fairness,-authority,categorization
1990,overthrow,0.29139969929368154,-authority,-authority,categorization
1990,subvert,0.28485228975303606,-authority,-authority,categorization
1990,seditious,0.2863090950191821,-sanctity,-authority,categorization
1990,sedition,0.29282233502897503,-authority,-authority,categorization
1990,agitated,0.3032090834543683,-sanctity,-authority,categorization
1990,illegal,0.2887686396282022,-fairness,-authority,categorization
1990,lawless,0.29440092038319554,-loyalty,-authority,categorization
1990,defy,0.29482220117112484,-authority,-authority,categorization
1990,alienate,0.2952211485284966,-care,-authority,categorization
1990,heretic,0.2827817475920746,-sanctity,-authority,categorization
1990,oppose,0.2837813168117622,-authority,-authority,categorization
1990,protest,0.2898968131828549,-authority,-authority,categorization
1990,refuse,0.29650800136372557,+authority,-authority,categorization
1990,riot,0.29715273226902883,-authority,-authority,categorization
1990,obstruct,0.2971529173509226,-care,-authority,categorization
1990,ruin,0.29811285787733505,-care,-sanctity,categorization
1990,ruinous,0.2999746716601253,-care,-sanctity,categorization
1990,exploits,0.26909156808847534,-care,-sanctity,categorization
1990,heretic,0.2829004770431239,-authority,-sanctity,categorization
1990,disgust,0.28187416047873803,-sanctity,-sanctity,categorization
1990,corruption,0.28242097095666774,-sanctity,-sanctity,categorization
1990,depraved,0.3027664841068714,-sanctity,-sanctity,categorization
1990,disease,0.3015872037762388,-care,-sanctity,categorization
1990,unclean,0.286770627189083,-sanctity,-sanctity,categorization
1990,dirt,0.3138002706813474,-sanctity,-sanctity,categorization
1990,contagion,0.29738143579934223,-sanctity,-sanctity,categorization
